Company Name,Country,Website Link
﻿Manufacture Name,Country,https://www.cbp.gov/trade/rulings/informed-compliance-publications/marking-country-origin-us-imports
DSM Nutritional Products Asia Pacific,Singapore,https://www.dsm-firmenich.com/en/businesses/health-nutrition-care/news/press-releases/archive/dsm/2019/dsm-nutritional-products-appoints-new-leadership-in-asia-pacific.html
Mead Johnson Nutrition Asia Pacific Pte Ltd,Singapore,https://www.meadjohnson.com/
Takasago International Singapore Pte Ltd,Singapore,https://www.takasago.com/en/sustainability/area/report/singapore.html
Wyeth Nutritionals Singapore Pte Ltd,Singapore,https://www.wyethnutrition.com/
Glico Asia Pacific Pte Ltd,Singapore,https://www.glico.com/sg/
Asia Chemical Corporation ACC Pte Ltd,Singapore,https://www.asia-chemical.com/
DSM Singapore Industrial Pte Ltd,Singapore,https://our-company.dsm-firmenich.com/en/our-company.html
Adisseo Asia Pacific Pte Ltd,Singapore,https://www.adisseo.com/en/contact-us/
DSM Nutritional Products Asia,Singapore,https://www.dsm-firmenich.com/en/businesses/health-nutrition-care/news/press-releases/archive/dsm/2019/dsm-nutritional-products-appoints-new-leadership-in-asia-pacific.html
Nov Apharma Pte Ltd,Singapore,https://pmc.ncbi.nlm.nih.gov/articles/PMC6223344/
CP Meiji Co Ltd,Thailand,https://www.cpmeiji.com/en/about
Betagen Co Ltd,Thailand,https://www.betagen.co.th/foreign
Procter & Gamble Manufacturing,Thailand,https://us.pg.com/
Procter & Gamble Manufacturing Thailand Ltd,Thailand,https://us.pg.com/
Kemin Industries Asia Pte Ltd,Singapore,https://www.kemin.com/ap/en/home
Performance Labs Pte Ltd,Singapore,https://sg.linkedin.com/company/performance-labs-pte-ltd
Pacific Ng Pte Ltd,Singapore,https://pubmed.ncbi.nlm.nih.gov/39586972/
Evonik Methionine Sea Pte Ltd,Singapore,https://seaanz.evonik.com/en/company/seaanz/singapore
Evershining Ingredient Co Ltd,Thailand,https://www.dnb.com/business-directory/company-profiles.evershining_ingredient_company_limited.01165fbe52e7f20b03f82a65f94b4998.html
Extra Excellence Manufacturing,Singapore,https://www.eexcel.com.sg/
East Hope Singapore Animal Nutrition Pte Ltd,Singapore,https://www.feedstrategy.com/top-feed-companies/company/east-hope-group
Fitwhey Co Ltd,Thailand,https://fitwhey.com/
Becton Dickinson Holdings,Singapore,https://www.bd.com/en-sea
Megamart Co Ltd,Thailand,https://megamart-usa.com/
New Hope Singapore Premix Pte Ltd,Singapore,https://sg.linkedin.com/company/new-hope-singapore-pte-ltd
